temperature,n_samples,mean_agreement,std_agreement,ci_lower,ci_upper
0.0,1,97.71832675710449,0.21153066432154383,97.37367970311162,97.88752497858978
0.0,2,97.59628038980287,0.26662224306947185,97.26027397260275,97.94461889808736
0.0,3,98.94816870927333,0.16024833030577015,98.63013698630137,99.22945205479452
0.0,4,98.80449308290218,0.085303390260421,98.68721461187214,98.94406392694064
0.0,5,100.0,0.0,100.0,100.0
0.3,1,95.92420899502972,0.4992751506724885,95.00570776255708,96.46017699115043
0.3,2,96.18921232876713,0.1475020470233067,95.86187214611871,96.3755707762557
0.3,3,98.12043378995435,0.3352264725689341,97.57420091324201,98.5445205479452
0.3,4,98.04326484018266,0.19411827737440976,97.8310502283105,98.28767123287672
0.3,5,100.0,0.0,100.0,100.0
0.7,1,94.98627277402149,0.5050474927162861,94.09246575342466,95.46232876712328
0.7,2,95.19794520547946,0.22296522412678937,94.83447488584474,95.54794520547945
0.7,3,97.67254566210046,0.2458102865156459,97.28881278538812,98.14497716894978
0.7,4,97.7257420091324,0.3048366043749697,97.31735159817352,98.17351598173516
0.7,5,100.0,0.0,100.0,100.0
1.0,1,94.1712739537018,0.7913979615012183,92.8082191780822,95.26255707762557
1.0,2,94.22197488584474,0.3858428026416032,93.72146118721462,95.06278538812786
1.0,3,97.24868721461188,0.36321866700585065,96.74657534246576,97.80251141552512
1.0,4,97.28047945205479,0.31218739707589127,97.00342465753424,97.88812785388129
1.0,5,100.0,0.0,100.0,100.0
