Feature,Correlation with SSI,LogReg Importance,Stable Mean,Unstable Mean
char_count,0.00609961542604739,0.5099754194313306,80.35419440745673,78.048
word_count,-0.03135235371360098,-0.6186088217536548,13.063914780292944,13.112
avg_word_length,0.13516208695843182,-0.6987811148956784,5.251441198164225,5.000003632368489
sentence_count,-0.20923429470565927,0.1934816958614378,1.0133155792276964,1.152
has_question_mark,,0.0,0.0,0.0
has_exclamation,,0.0,0.0,0.0
num_commas,-0.08789056931239728,0.09522056516028035,0.07856191744340879,0.112
hedging_word_count,-0.0126065061696546,0.08295363559096532,0.023968042609853527,0.032
sensitive_term_count,0.18355334752431304,-0.6677447838028986,0.30492676431424764,0.088
instruction_word_count,0.08829675943886223,-0.348080425911221,1.0639147802929427,0.904
all_caps_word_count,-0.17418374243512277,0.1648632013231315,0.08921438082556592,0.24
starts_with_how,,0.0,0.0,0.0
starts_with_what,,0.0,0.0,0.0
starts_with_can,,0.0,0.0,0.0
